ticker,keyword,tfidf_score,rank
PLD,great,6.551920257824444,1
PLD,cultur,6.01232664761567,2
PLD,prolog,5.383504561536155,3
PLD,team,4.5704313232707126,4
PLD,lot,3.7463918629709414,5
PLD,strong,3.5641225191358727,6
PLD,feel,3.54760555648678,7
PLD,leadership,3.544006905925743,8
PLD,offic,3.3252349573850823,9
PLD,care,3.2635796918804485,10
PLD,innov,3.2413972868164134,11
PLD,opportun,3.190811628207648,12
PLD,employe,3.138585223975789,13
PLD,support,3.018356660662627,14
PLD,good,2.6441830370970276,15
PLD,benefit,2.628114132684801,16
PLD,place,2.4784622503042875,17
PLD,career,2.434309774963185,18
PLD,real,2.4162264146818435,19
PLD,industri,2.3964131182158392,20
