ticker,year_month,sentiment_compound_mean,sentiment_compound_std,sentiment_compound_count,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,lm_net_score_mean
PLD,2023-08,0.14553698897361755,,1,0.16379128396511078,0.018254287540912628,0.8179544806480408,0.0
PLD,2024-08,0.07742707431316376,0.04247940821906924,2,0.10555939748883247,0.028132321313023567,0.8663082718849182,0.0
PLD,2024-09,0.34695955497377057,0.23389478055489216,17,0.36128296177176866,0.01432341112590888,0.6243936401956222,0.0516244281217058
PLD,2024-10,0.16311385482549667,0.08384231171134776,6,0.17907732849319777,0.015963470718512934,0.8049591879049937,0.0
PLD,2024-12,0.22076764702796936,,1,0.23187947273254395,0.011111830361187458,0.7570087313652039,0.0
PLD,2025-01,0.2394052818417549,0.1344065000987715,2,0.25262995064258575,0.013224664609879255,0.7341453731060028,0.0
PLD,2025-03,0.1709424385002681,0.08559635121403561,7,0.1872157326766423,0.01627329590597323,0.7965109944343567,0.009355509355509356
PLD,2025-04,0.2667075050994754,0.16412841731938405,4,0.2987925745546818,0.03208506712689996,0.6691223308444023,0.06923076923076923
PLD,2025-05,0.24641285836696625,0.16305047944144563,4,0.26508853957057,0.018675681669265032,0.716235801577568,0.039473684210526314
PLD,2025-06,0.1970277107320726,0.16288218899612553,8,0.21733323112130165,0.020305521320551634,0.7623612284660339,0.04734848484848485
PLD,2025-07,0.1370560129483541,0.07416802540799425,3,0.14962508777777353,0.012569071414570013,0.8378058473269144,0.0
PLD,2025-08,0.24880411103367805,0.22288167054059868,4,0.28745718859136105,0.03865308570675552,0.6738897040486336,0.020833333333333332
PLD,2025-09,0.21414266573265195,0.23579826074243032,8,0.229375877417624,0.01523321308195591,0.755390889942646,0.02726190476190476
PLD,2025-10,0.062263185158371925,0.01861329953697597,2,0.08957231044769287,0.02730912435799837,0.883118599653244,0.0
PLD,2025-11,0.39472225308418274,,1,0.4098680913448334,0.015145843848586082,0.5749860405921936,0.0
