ticker,year_month,sentiment_compound_mean,sentiment_compound_std,sentiment_compound_count,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,lm_net_score_mean
PLD,2023-08,0.14553697407245636,,1,0.1637912541627884,0.01825428009033203,0.8179544806480408,0.0
PLD,2024-08,0.07742707431316376,0.04247940821906924,2,0.10555939748883247,0.028132321313023567,0.8663082718849182,0.0
PLD,2024-09,0.34695955190588446,0.2338947860892065,17,0.36128295826561313,0.014323409318047412,0.6243936384425444,0.051624428121705805
PLD,2024-10,0.16311386972665787,0.08384233155216661,6,0.17907734215259552,0.015963472581158083,0.8049591879049937,0.0
PLD,2024-12,0.22076764702796936,,1,0.23187947273254395,0.011111830361187458,0.7570087313652039,0.0
PLD,2025-01,0.2394052818417549,0.1344065000987715,2,0.25262995064258575,0.013224664609879255,0.7341453731060028,0.0
PLD,2025-03,0.19675259043773016,0.09754434246607058,6,0.21178591003020605,0.015033320679018894,0.773180772860845,0.006410256410256411
PLD,2025-04,0.32966752648353576,0.1084627089240315,5,0.35877433717250823,0.029106809198856352,0.6121188342571259,0.06538461538461539
PLD,2025-05,0.40046216920018196,0.27135091627277885,4,0.41705311834812164,0.016590953338891268,0.5663559213280678,0.06447368421052632
PLD,2025-06,0.1822802344603198,0.07711606581650712,7,0.19841196281569345,0.01613172489617552,0.7854562997817993,0.006493506493506494
PLD,2025-07,0.1579043697565794,0.10423275934709009,4,0.17352846823632717,0.01562409638427198,0.8108474314212799,0.0
PLD,2025-08,0.2515958746274312,0.27288747807030156,3,0.2722016250093778,0.020605746346215408,0.7071926097075144,0.027777777777777776
PLD,2025-09,0.20689117961696216,0.18772337029199548,7,0.2266235128045082,0.019732334651052952,0.7536441385746002,0.01371009942438514
PLD,2025-10,0.12283849467833836,0.1057418134142461,3,0.14537623027960458,0.0225377365325888,0.8320860664049784,0.0
PLD,2025-11,0.39472222328186035,,1,0.409868061542511,0.015145844779908657,0.5749861001968384,0.0
