,rating,rating,rating,sentiment_score,sentiment_score,sentiment_score
,mean,std,count,mean,std,count
date,,,,,,
2023-08-31,5.0,,1,0.14553698897361755,,1
2023-09-30,5.0,,1,0.3311968147754669,,1
2023-10-31,,,0,,,0
2023-11-30,,,0,,,0
2023-12-31,,,0,,,0
2024-01-31,,,0,,,0
2024-02-29,,,0,,,0
2024-03-31,5.0,,1,0.11182472109794617,,1
2024-04-30,,,0,,,0
2024-05-31,,,0,,,0
2024-06-30,,,0,,,0
2024-07-31,,,0,,,0
2024-08-31,4.0,1.4142135623730951,2,0.07742706872522831,0.04247940558489121,2
2024-09-30,4.904761904761905,0.30079260375911926,21,0.34672780405907405,0.2364297212966321,21
2024-10-31,4.75,0.4629100498862757,8,0.221182594075799,0.19376735463450687,8
2024-11-30,,,0,,,0
2024-12-31,5.0,,1,0.2207677811384201,,1
2025-01-31,3.5,0.7071067811865476,2,0.23940525949001312,0.13440657385575638,2
2025-02-28,,,0,,,0
2025-03-31,4.875,0.35355339059327384,8,0.18350753653794527,0.08685108340015593,8
2025-04-30,4.857142857142857,0.37796447300922725,7,0.27117848875267164,0.13954451008753355,7
2025-05-31,4.75,0.46291004988627565,8,0.26033322699368,0.23562061410762916,8
2025-06-30,4.888888888888889,0.33333333333333337,9,0.21098437615566784,0.15801080474711982,9
2025-07-31,5.0,0.0,5,0.14373217523097992,0.09566940640092605,5
2025-08-31,3.8333333333333335,1.4719601443879744,6,0.2791816269357999,0.22776034628850136,6
2025-09-30,5.0,0.0,15,0.23446391448378562,0.2099946778917198,15
2025-10-31,4.666666666666667,0.5773502691896257,3,0.12283838664491971,0.10574165178066273,3
2025-11-30,5.0,,1,0.39472201466560364,,1
